propername	batch	medium	salt	temperature	replicate	GrowthBin
P_aestuarii_SC35	w2	LB	10	37	4	1
P_aestuarii_SC35	w2	LB	10	37	5	1
P_alimentarius_JG100	w7	LB	0	4	1	1
P_alimentarius_JG100	w7	LB	0	4	2	1
P_alimentarius_JG100	w7	LB	0	4	3	1
P_alimentarius_JG100	w7	LB	0	4	4	1
P_alimentarius_JG100	w7	LB	0	4	5	1
P_alimentarius_JG100	w7	LB	0	25	1	1
P_alimentarius_JG100	w7	LB	0	25	2	1
P_alimentarius_JG100	w7	LB	0	25	3	1
P_alimentarius_JG100	w7	LB	0	25	4	1
P_alimentarius_JG100	w7	LB	0	25	5	1
P_alimentarius_JG100	w7	LB	0	37	1	0
P_alimentarius_JG100	w7	LB	0	37	2	0
P_alimentarius_JG100	w7	LB	0	37	3	0
P_alimentarius_JG100	w7	LB	0	37	4	0
P_alimentarius_JG100	w7	LB	0	37	5	1
P_alimentarius_JG100	w7	LB	2.5	4	1	1
P_alimentarius_JG100	w7	LB	2.5	4	2	1
P_alimentarius_JG100	w7	LB	2.5	4	3	1
P_alimentarius_JG100	w7	LB	2.5	4	4	1
P_alimentarius_JG100	w7	LB	2.5	4	5	1
P_alimentarius_JG100	w7	LB	2.5	25	1	1
P_alimentarius_JG100	w7	LB	2.5	25	2	1
P_alimentarius_JG100	w7	LB	2.5	25	3	1
P_alimentarius_JG100	w7	LB	2.5	25	4	1
P_alimentarius_JG100	w7	LB	2.5	25	5	1
P_alimentarius_JG100	w7	LB	2.5	37	1	0
P_alimentarius_JG100	w7	LB	2.5	37	2	0
P_alimentarius_JG100	w7	LB	2.5	37	3	0
P_alimentarius_JG100	w7	LB	2.5	37	4	0
P_alimentarius_JG100	w7	LB	2.5	37	5	0
P_alimentarius_JG100	w7	LB	5	4	1	1
P_alimentarius_JG100	w7	LB	5	4	2	1
P_alimentarius_JG100	w7	LB	5	4	3	1
P_alimentarius_JG100	w7	LB	5	4	4	1
P_alimentarius_JG100	w7	LB	5	4	5	1
P_alimentarius_JG100	w7	LB	5	25	1	1
P_alimentarius_JG100	w7	LB	5	25	2	1
P_alimentarius_JG100	w7	LB	5	25	3	1
P_alimentarius_JG100	w7	LB	5	25	4	1
P_alimentarius_JG100	w7	LB	5	25	5	1
P_alimentarius_JG100	w7	LB	5	37	1	0
P_alimentarius_JG100	w7	LB	5	37	2	0
P_alimentarius_JG100	w7	LB	5	37	3	0
P_alimentarius_JG100	w7	LB	5	37	4	0
P_alimentarius_JG100	w7	LB	5	37	5	0
P_alimentarius_JG100	w7	LB	10	4	1	1
P_alimentarius_JG100	w7	LB	10	4	2	1
P_alimentarius_JG100	w7	LB	10	4	3	1
P_alimentarius_JG100	w7	LB	10	4	4	1
P_alimentarius_JG100	w7	LB	10	4	5	1
P_alimentarius_JG100	w7	LB	10	25	1	1
P_alimentarius_JG100	w7	LB	10	25	2	1
P_alimentarius_JG100	w7	LB	10	25	3	1
P_alimentarius_JG100	w7	LB	10	25	4	1
P_alimentarius_JG100	w7	LB	10	25	5	1
P_alimentarius_JG100	w7	LB	10	37	1	0
P_alimentarius_JG100	w7	LB	10	37	2	0
P_alimentarius_JG100	w7	LB	10	37	3	0
P_alimentarius_JG100	w7	LB	10	37	4	0
P_alimentarius_JG100	w7	LB	10	37	5	0
P_alimentarius_JG100	w7	MM	0	4	1	1
P_alimentarius_JG100	w7	MM	0	4	2	1
P_alimentarius_JG100	w7	MM	0	4	3	1
P_alimentarius_JG100	w7	MM	0	4	4	1
P_alimentarius_JG100	w7	MM	0	4	5	1
P_alimentarius_JG100	w7	MM	0	37	1	0
P_alimentarius_JG100	w7	MM	0	37	2	0
P_alimentarius_JG100	w7	MM	0	37	3	0
P_alimentarius_JG100	w7	MM	0	37	4	0
P_alimentarius_JG100	w7	MM	0	37	5	0
P_alimentarius_JG100	w7	MM	2.5	4	1	1
P_alimentarius_JG100	w7	MM	2.5	4	2	1
P_alimentarius_JG100	w7	MM	2.5	4	3	1
P_alimentarius_JG100	w7	MM	2.5	4	4	1
P_alimentarius_JG100	w7	MM	2.5	4	5	1
P_alimentarius_JG100	w7	MM	2.5	37	1	0
P_alimentarius_JG100	w7	MM	2.5	37	2	0
P_alimentarius_JG100	w7	MM	2.5	37	3	0
P_alimentarius_JG100	w7	MM	2.5	37	4	0
P_alimentarius_JG100	w7	MM	2.5	37	5	0
P_alimentarius_JG100	w7	MM	5	4	1	1
P_alimentarius_JG100	w7	MM	5	4	2	1
P_alimentarius_JG100	w7	MM	5	4	3	1
P_alimentarius_JG100	w7	MM	5	4	4	1
P_alimentarius_JG100	w7	MM	5	4	5	1
P_alimentarius_JG100	w7	MM	5	37	1	0
P_alimentarius_JG100	w7	MM	5	37	2	0
P_alimentarius_JG100	w7	MM	5	37	3	0
P_alimentarius_JG100	w7	MM	5	37	4	0
P_alimentarius_JG100	w7	MM	5	37	5	0
P_alimentarius_JG100	w7	MM	10	4	1	0
P_alimentarius_JG100	w7	MM	10	4	2	0
P_alimentarius_JG100	w7	MM	10	4	3	0
P_alimentarius_JG100	w7	MM	10	4	4	0
P_alimentarius_JG100	w7	MM	10	4	5	0
P_alimentarius_JG100	w7	MM	10	37	1	0
P_alimentarius_JG100	w7	MM	10	37	2	0
P_alimentarius_JG100	w7	MM	10	37	3	0
P_alimentarius_JG100	w7	MM	10	37	4	0
P_alimentarius_JG100	w7	MM	10	37	5	0
P_alimentarius_JG100	w7r	MM	0	25	1	1
P_alimentarius_JG100	w7r	MM	0	25	2	1
P_alimentarius_JG100	w7r	MM	0	25	3	1
P_alimentarius_JG100	w7r	MM	0	25	4	1
P_alimentarius_JG100	w7r	MM	0	25	5	1
P_alimentarius_JG100	w7r	MM	2.5	25	1	1
P_alimentarius_JG100	w7r	MM	2.5	25	2	1
P_alimentarius_JG100	w7r	MM	2.5	25	3	1
P_alimentarius_JG100	w7r	MM	2.5	25	4	1
P_alimentarius_JG100	w7r	MM	2.5	25	5	1
P_alimentarius_JG100	w7r	MM	5	25	1	1
P_alimentarius_JG100	w7r	MM	5	25	2	1
P_alimentarius_JG100	w7r	MM	5	25	3	1
P_alimentarius_JG100	w7r	MM	5	25	4	1
P_alimentarius_JG100	w7r	MM	5	25	5	1
P_alimentarius_JG100	w7r	MM	10	25	1	1
P_alimentarius_JG100	w7r	MM	10	25	2	1
P_alimentarius_JG100	w7r	MM	10	25	3	1
P_alimentarius_JG100	w7r	MM	10	25	4	1
P_alimentarius_JG100	w7r	MM	10	25	5	1
P_alimentarius_JG102	w4	LB	0	37	1	0
P_alimentarius_JG102	w4	LB	0	37	2	0
P_alimentarius_JG102	w4	LB	0	37	3	0
P_alimentarius_JG102	w4	LB	0	37	4	0
P_alimentarius_JG102	w4	LB	0	37	5	0
P_alimentarius_JG102	w4	LB	2.5	4	1	1
P_alimentarius_JG102	w4	LB	2.5	4	2	1
P_alimentarius_JG102	w4	LB	2.5	4	3	1
P_alimentarius_JG102	w4	LB	2.5	4	4	1
P_alimentarius_JG102	w4	LB	2.5	4	5	1
P_alimentarius_JG102	w4	LB	2.5	25	1	1
P_alimentarius_JG102	w4	LB	2.5	25	2	1
P_alimentarius_JG102	w4	LB	2.5	25	3	1
P_alimentarius_JG102	w4	LB	2.5	25	4	1
P_alimentarius_JG102	w4	LB	2.5	25	5	1
P_alimentarius_JG102	w4	LB	2.5	37	1	0
P_alimentarius_JG102	w4	LB	2.5	37	2	0
P_alimentarius_JG102	w4	LB	2.5	37	3	0
P_alimentarius_JG102	w4	LB	2.5	37	4	0
P_alimentarius_JG102	w4	LB	2.5	37	5	0
P_alimentarius_JG102	w4	LB	5	4	1	1
P_alimentarius_JG102	w4	LB	5	4	2	1
P_alimentarius_JG102	w4	LB	5	4	3	1
P_alimentarius_JG102	w4	LB	5	4	4	1
P_alimentarius_JG102	w4	LB	5	4	5	1
P_alimentarius_JG102	w4	LB	5	25	1	1
P_alimentarius_JG102	w4	LB	5	25	2	1
P_alimentarius_JG102	w4	LB	5	25	3	1
P_alimentarius_JG102	w4	LB	5	25	4	1
P_alimentarius_JG102	w4	LB	5	25	5	1
P_alimentarius_JG102	w4	LB	5	37	1	0
P_alimentarius_JG102	w4	LB	5	37	2	0
P_alimentarius_JG102	w4	LB	5	37	3	0
P_alimentarius_JG102	w4	LB	5	37	4	0
P_alimentarius_JG102	w4	LB	5	37	5	0
P_alimentarius_JG102	w4	LB	10	4	1	1
P_alimentarius_JG102	w4	LB	10	4	2	1
P_alimentarius_JG102	w4	LB	10	4	3	1
P_alimentarius_JG102	w4	LB	10	4	4	1
P_alimentarius_JG102	w4	LB	10	4	5	1
P_alimentarius_JG102	w4	LB	10	25	1	1
P_alimentarius_JG102	w4	LB	10	25	2	1
P_alimentarius_JG102	w4	LB	10	25	3	1
P_alimentarius_JG102	w4	LB	10	25	4	1
P_alimentarius_JG102	w4	LB	10	25	5	1
P_alimentarius_JG102	w4	LB	10	37	1	0
P_alimentarius_JG102	w4	LB	10	37	2	0
P_alimentarius_JG102	w4	LB	10	37	3	0
P_alimentarius_JG102	w4	LB	10	37	4	0
P_alimentarius_JG102	w4	LB	10	37	5	0
P_alimentarius_JG102	w4	MM	0	25	1	1
P_alimentarius_JG102	w4	MM	0	25	2	1
P_alimentarius_JG102	w4	MM	0	25	3	1
P_alimentarius_JG102	w4	MM	0	25	4	1
P_alimentarius_JG102	w4	MM	0	25	5	1
P_alimentarius_JG102	w4	MM	0	37	1	0
P_alimentarius_JG102	w4	MM	0	37	2	0
P_alimentarius_JG102	w4	MM	0	37	3	0
P_alimentarius_JG102	w4	MM	0	37	4	0
P_alimentarius_JG102	w4	MM	0	37	5	0
P_alimentarius_JG102	w4	MM	2.5	25	1	1
P_alimentarius_JG102	w4	MM	2.5	25	2	1
P_alimentarius_JG102	w4	MM	2.5	25	3	1
P_alimentarius_JG102	w4	MM	2.5	25	4	1
P_alimentarius_JG102	w4	MM	2.5	25	5	1
P_alimentarius_JG102	w4	MM	2.5	37	1	0
P_alimentarius_JG102	w4	MM	2.5	37	2	0
P_alimentarius_JG102	w4	MM	2.5	37	3	0
P_alimentarius_JG102	w4	MM	2.5	37	4	0
P_alimentarius_JG102	w4	MM	2.5	37	5	0
P_alimentarius_JG102	w4	MM	5	25	1	1
P_alimentarius_JG102	w4	MM	5	25	2	1
P_alimentarius_JG102	w4	MM	5	25	3	1
P_alimentarius_JG102	w4	MM	5	25	4	1
P_alimentarius_JG102	w4	MM	5	25	5	1
P_alimentarius_JG102	w4	MM	5	37	1	0
P_alimentarius_JG102	w4	MM	5	37	2	0
P_alimentarius_JG102	w4	MM	5	37	3	0
P_alimentarius_JG102	w4	MM	5	37	4	0
P_alimentarius_JG102	w4	MM	5	37	5	0
P_alimentarius_JG102	w4	MM	10	25	1	1
P_alimentarius_JG102	w4	MM	10	25	2	1
P_alimentarius_JG102	w4	MM	10	25	3	1
P_alimentarius_JG102	w4	MM	10	25	4	1
P_alimentarius_JG102	w4	MM	10	25	5	1
P_alimentarius_JG102	w4	MM	10	37	1	0
P_alimentarius_JG102	w4	MM	10	37	2	0
P_alimentarius_JG102	w4	MM	10	37	3	0
P_alimentarius_JG102	w4	MM	10	37	4	0
P_alimentarius_JG102	w4	MM	10	37	5	0
P_alimentarius_JG102	w4r	LB	0	4	1	1
P_alimentarius_JG102	w4r	LB	0	4	2	1
P_alimentarius_JG102	w4r	LB	0	4	3	1
P_alimentarius_JG102	w4r	LB	0	4	4	1
P_alimentarius_JG102	w4r	LB	0	4	5	1
P_alimentarius_JG102	w4r	LB	0	25	1	1
P_alimentarius_JG102	w4r	LB	0	25	2	1
P_alimentarius_JG102	w4r	LB	0	25	3	1
P_alimentarius_JG102	w4r	LB	0	25	4	1
P_alimentarius_JG102	w4r	LB	0	25	5	1
P_alimentarius_JG102	w4r	MM	0	4	1	1
P_alimentarius_JG102	w4r	MM	0	4	2	1
P_alimentarius_JG102	w4r	MM	0	4	3	1
P_alimentarius_JG102	w4r	MM	0	4	4	1
P_alimentarius_JG102	w4r	MM	0	4	5	1
P_alimentarius_JG102	w4r	MM	2.5	4	1	1
P_alimentarius_JG102	w4r	MM	2.5	4	2	1
P_alimentarius_JG102	w4r	MM	2.5	4	3	1
P_alimentarius_JG102	w4r	MM	2.5	4	4	1
P_alimentarius_JG102	w4r	MM	2.5	4	5	1
P_alimentarius_JG102	w4r	MM	5	4	1	1
P_alimentarius_JG102	w4r	MM	5	4	2	1
P_alimentarius_JG102	w4r	MM	5	4	3	1
P_alimentarius_JG102	w4r	MM	5	4	4	1
P_alimentarius_JG102	w4r	MM	5	4	5	1
P_alimentarius_JG102	w4r2	MM	10	4	1	0
P_alimentarius_JG102	w4r2	MM	10	4	2	0
P_alimentarius_JG102	w4r2	MM	10	4	3	0
P_alimentarius_JG102	w4r2	MM	10	4	4	0
P_alimentarius_JG102	w4r2	MM	10	4	5	0
P_aquaticus_CMS56	w2	LB	0	4	1	1
P_aquaticus_CMS56	w2	LB	0	4	2	1
P_aquaticus_CMS56	w2	LB	0	4	3	1
P_aquaticus_CMS56	w2	LB	0	4	4	1
P_aquaticus_CMS56	w2	LB	0	4	5	1
P_aquaticus_CMS56	w2	LB	0	25	1	1
P_aquaticus_CMS56	w2	LB	0	25	2	1
P_aquaticus_CMS56	w2	LB	0	25	3	1
P_aquaticus_CMS56	w2	LB	0	25	4	1
P_aquaticus_CMS56	w2	LB	0	25	5	1
P_aquaticus_CMS56	w2	LB	0	37	1	0
P_aquaticus_CMS56	w2	LB	0	37	2	0
P_aquaticus_CMS56	w2	LB	0	37	3	0
P_aquaticus_CMS56	w2	LB	0	37	4	0
P_aquaticus_CMS56	w2	LB	0	37	5	0
P_aquaticus_CMS56	w2	LB	2.5	4	1	1
P_aquaticus_CMS56	w2	LB	2.5	4	2	1
P_aquaticus_CMS56	w2	LB	2.5	4	3	1
P_aquaticus_CMS56	w2	LB	2.5	4	4	1
P_aquaticus_CMS56	w2	LB	2.5	4	5	1
P_aquaticus_CMS56	w2	LB	2.5	25	1	1
P_aquaticus_CMS56	w2	LB	2.5	25	2	1
P_aquaticus_CMS56	w2	LB	2.5	25	3	1
P_aquaticus_CMS56	w2	LB	2.5	25	4	1
P_aquaticus_CMS56	w2	LB	2.5	25	5	1
P_aquaticus_CMS56	w2	LB	2.5	37	1	0
P_aquaticus_CMS56	w2	LB	2.5	37	2	0
P_aquaticus_CMS56	w2	LB	2.5	37	3	0
P_aquaticus_CMS56	w2	LB	2.5	37	4	0
P_aquaticus_CMS56	w2	LB	2.5	37	5	0
P_aquaticus_CMS56	w2	LB	5	4	1	1
