geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00000126_2_p1	shell	S			
GC00002661_r1_1_p2	shell	L			
GC00000007_4_p2	core	I			
GC00002517_p2_p1	shell	S			
GC00001325_p2	shell	K			
GC00000028_6_p1	softcore	T			
GC00000103_r1_1_p1	softcore	M			
GC00000320_4_p1	shell	C			
GC00001917_p1_p2	shell	X			
GC00000403_p1	shell	M			
GC00000166_r1_1_p1_p1	shell	L			
GC00002517_p2_p2	shell	S			
GC00000027_r1_1_p1_p1	softcore	K			
GC00000166_r1_1_p1_p2	shell	L			
GC00000027_r1_1_p2_p2	core	K			
GC00000001_48_p2_p1	softcore	E			
GC00000027_r1_1_p1_p2	core	K			
GC00000027_r1_1_p2_p1	softcore	K			
GC00000019_7_p2_p2	core	E			
GC00000004_23_p2_p1	core	I			
GC00000019_7_p2_p1	softcore	E			
GC00000001_48_p2_p2_p1	shell	E			
GC00000004_23_p2_p2	softcore	I			
GC00000001_48_p2_p2_p2	shell	V			
GC00005898	cloud	K			
GC00006692	cloud	S			
GC00005596	cloud	X			
GC00005899	cloud	X			
GC00006691	cloud	X			
GC00005599	cloud	S			
GC00006690	cloud	X			
GC00006684	cloud	X			
GC00005598	cloud	U			
GC00005957	cloud	X			
GC00006073	cloud	X			
GC00006410	cloud	X			
GC00006685	cloud	X			
GC00006072	cloud	X			
GC00006413	cloud	X			
GC00006930	cloud	X			
GC00006071	cloud	X			
GC00006412	cloud	X			
GC00006687	cloud	X			
GC00006070	cloud	X			
GC00006415	cloud	X			
GC00006077	cloud	X			
GC00006414	cloud	X			
GC00006076	cloud	X			
GC00006417	cloud	X			
GC00003797	shell	X			
GC00006075	cloud	X			
GC00006416	cloud	X			
GC00006419	cloud	X			
GC00006074	cloud	X			
GC00003473	shell	S			
GC00006418	cloud	X			
GC00006079	cloud	X			
GC00005098	shell	X			
GC00006149	cloud	Q			
GC00006078	cloud	X			
GC00005476	shell	X			
GC00004406	shell	X			
GC00006148	cloud	E			
GC00005579	cloud	X			
GC00007895	cloud	X			
GC00004423	shell	X			
GC00005999	cloud	X			
GC00005270	shell	X			
GC00003796	shell	T			
GC00005578	cloud	X			
GC00005220	shell	X			
GC00007310	cloud	X			
GC00005998	cloud	X			
GC00005577	cloud	X			
GC00003615	shell	S			
GC00007889	cloud	U			
GC00005995	cloud	X			
GC00005099	shell	X			
GC00005576	cloud	S			
GC00007888	cloud	U			
GC00005994	cloud	X			
GC00001851	shell	X			
GC00004407	shell	X			
GC00002877	shell	V			
GC00005575	cloud	S			
GC00007339	cloud	Q			
GC00005997	cloud	X			
GC00002788	shell	X			
GC00005574	cloud	X			
GC00005996	cloud	X			
GC00007338	cloud	X			
GC00005573	cloud	X			
GC00005991	cloud	X			
GC00002374	shell	E			
GC00005572	cloud	X			
GC00005990	cloud	X			
GC00004352	shell	X			
GC00002436	shell	V			
GC00004664	shell	X			
GC00006352	cloud	X			
GC00005993	cloud	X			
GC00005571	cloud	X			
GC00005090	shell	X			
GC00005992	cloud	X			
GC00005570	cloud	X			
GC00002234	shell	X			
GC00004400	shell	X			
GC00007336	cloud	X			
GC00007335	cloud	X			
GC00004421	shell	X			
GC00002785	shell	X			
GC00007334	cloud	X			
GC00005091	shell	S			
GC00003532	shell	S			
GC00007333	cloud	X			
GC00007332	cloud	S			
GC00002876	shell	L			
GC00007331	cloud	X			
GC00005195	shell	X			
GC00004992	shell	S			
GC00003793	shell	X			
GC00004401	shell	U			
GC00007330	cloud	X			
GC00004426	shell	X			
GC00005092	shell	X			
GC00003964	shell	X			
GC00006353	cloud	X			
GC00006068	cloud	X			
GC00002435	shell	I			
GC00006069	cloud	X			
GC00006064	cloud	X			
GC00006065	cloud	X			
GC00006066	cloud	X			
GC00006067	cloud	X			
GC00000382	core	H			
GC00003792	shell	S			
GC00004993	shell	G			
GC00005194	shell	K	L	T	
GC00005001	shell	X			
GC00005093	shell	X			
GC00004402	shell	X			
GC00006060	cloud	X			
GC00002875	shell	S			
GC00006061	cloud	X			
GC00004427	shell	X			
GC00006062	cloud	X			
GC00006063	cloud	X			
GC00002434	shell	X			
GC00005197	shell	X			
GC00003965	shell	X			
GC00005094	shell	X			
GC00004990	shell	X			
GC00006350	cloud	X			
GC00004403	shell	X			
GC00004424	shell	X			
GC00002874	shell	O			
GC00005272	shell	X			
GC00004991	shell	X			
GC00005095	cloud	Q			
GC00003242	shell	X			
GC00006351	cloud	X			
GC00004357	shell	S			
GC00002873	shell	X			
GC00002969	shell	S			
GC00004996	shell	X			
GC00002236	shell	V			
GC00005096	shell	X			
GC00003400	shell	X			
GC00005348	shell	X			
GC00003537	shell	E			
GC00004997	shell	X			
GC00006356	cloud	X			
GC00005097	shell	S			
GC00002432	shell	X			
GC00001990	shell	E			
GC00005349	shell	X			
GC00002872	shell	V			
GC00004994	shell	S			
GC00003908	shell	L			
GC00003539	shell	S			
GC00002376	shell	L			
GC00002965	shell	X			
GC00005340	shell	X			
GC00003536	shell	P			
GC00001743	shell	E			
GC00001487	softcore	J			
GC00004995	shell	S			
GC00003538	shell	X			
GC00003909	shell	I	M		
GC00002871	shell	S			
GC00005341	shell	X			
GC00002964	shell	S			
GC00006357	cloud	X			
GC00007702	cloud	X			
GC00007703	cloud	X			
GC00007700	cloud	X			
