geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00006227	cloud	X			
GC00004466	shell	S			
GC00006224	cloud	X			
GC00000356	core	L			
GC00006225	cloud	X			
GC00006558	cloud	X			
GC00006559	cloud	X			
GC00004467	shell	X			
GC00006228	cloud	X			
GC00006229	cloud	X			
GC00004464	shell	X			
GC00000335	shell	E			
GC00004465	shell	S			
GC00000882	core	E			
GC00002043	shell	E			
GC00000732	core	O			
GC00004462	shell	X			
GC00006125	cloud	X			
GC00004463	shell	X			
GC00006124	cloud	X			
GC00000722	softcore	J			
GC00006127	cloud	X			
GC00001941	shell	S			
GC00006126	cloud	X			
GC00002040	shell	X			
GC00002169	shell	S			
GC00006121	cloud	X			
GC00006120	cloud	X			
GC00004460	shell	X			
GC00006123	cloud	M			
GC00006122	cloud	X			
GC00006129	cloud	X			
GC00000544	core	K			
GC00004461	shell	X			
GC00000883	core	S			
GC00005179	shell	X			
GC00001123	core	J			
GC00004912	cloud	X			
GC00002168	shell	S			
GC00007539	cloud	X			
GC00005178	shell	X			
GC00007538	cloud	X			
GC00007535	cloud	X			
GC00007534	cloud	X			
GC00004913	shell	X			
GC00007537	cloud	X			
GC00007536	cloud	X			
GC00002041	shell	K			
GC00007531	cloud	X			
GC00007530	cloud	X			
GC00004651	shell	X			
GC00004910	shell	X			
GC00001948	shell	D			
GC00005172	shell	V			
GC00005252	shell	X			
GC00007532	cloud	X			
GC00004650	shell	K			
GC00006662	cloud	J			
GC00004443	shell	X			
GC00006663	cloud	X			
GC00001068	core	X			
GC00006660	cloud	X			
GC00006661	cloud	S			
GC00005171	shell	X			
GC00004653	shell	X			
GC00006666	cloud	X			
GC00002048	shell	X			
GC00006915	cloud	X			
GC00004916	shell	X			
GC00006664	cloud	X			
GC00000498	core	P			
GC00006665	cloud	X			
GC00006918	cloud	X			
GC00005170	shell	X			
GC00004652	shell	X			
GC00006919	cloud	S			
GC00000733	core	G			
GC00006668	cloud	X			
GC00004917	shell	S			
GC00006669	cloud	X			
GC00004655	shell	X			
GC00005177	shell	S			
GC00005176	shell	S			
GC00005253	shell	X			
GC00004657	shell	X			
GC00004656	shell	X			
GC00005175	shell	X			
GC00004659	shell	X			
GC00002743	shell	X			
GC00001906	shell	S			
GC00004658	shell	X			
GC00005174	shell	S			
GC00001153	core	U			
GC00002049	shell	S			
GC00007678	cloud	X			
GC00007679	cloud	S			
GC00007676	cloud	X			
GC00001281	core	S			
GC00007677	cloud	M			
GC00007674	cloud	S			
GC00005384	shell	X			
GC00007675	cloud	X			
GC00007672	cloud	X			
GC00004048	shell	X			
GC00004835	shell	X			
GC00007673	cloud	X			
GC00007670	cloud	X			
GC00005385	shell	L			
GC00007671	cloud	X			
GC00006819	cloud	X			
GC00000815	core	G			
GC00006818	cloud	X			
GC00000606	core	J			
GC00007337	cloud	X			
GC00006815	cloud	X			
GC00007884	cloud	S			
GC00004049	shell	X			
GC00006814	cloud	X			
GC00007887	cloud	X			
GC00006817	cloud	X			
GC00005386	shell	G			
GC00007886	cloud	X			
GC00006816	cloud	X			
GC00007881	cloud	X			
GC00006811	cloud	X			
GC00007880	cloud	X			
GC00006810	cloud	X			
GC00006813	cloud	X			
GC00007883	cloud	X			
GC00006812	cloud	X			
GC00007882	cloud	X			
GC00005387	shell	G			
GC00006439	cloud	X			
GC00006438	cloud	X			
GC00006238	cloud	X			
GC00006433	cloud	X			
GC00005380	shell	X			
GC00006432	cloud	X			
GC00001907	shell	S			
GC00006431	cloud	S			
GC00006430	cloud	X			
GC00006437	cloud	X			
GC00005381	shell	S			
GC00006436	cloud	S			
GC00006435	cloud	K			
GC00006434	cloud	X			
GC00005382	shell	X			
GC00005225	shell	X			
GC00005780	cloud	X			
GC00005781	cloud	X			
GC00005383	shell	X			
GC00005782	cloud	X			
GC00001020	core	C			
GC00001283	core	J			
GC00005783	cloud	X			
GC00000529	core	H			
GC00005784	cloud	X			
GC00005785	cloud	X			
GC00005388	cloud	X			
GC00005389	shell	S			
GC00004475	shell	X			
GC00004474	shell	X			
GC00001023	core	F	G		
GC00002214	shell	L			
GC00004477	shell	X			
GC00001904	shell	S			
GC00004538	shell	P			
GC00001282	core	O			
GC00004476	shell	X			
GC00004539	shell	X			
GC00000730	core	S			
GC00004471	shell	X			
GC00004470	shell	X			
GC00006006	cloud	X			
GC00006007	cloud	X			
GC00004473	shell	E			
GC00006004	cloud	X			
GC00001022	core	C			
GC00006005	cloud	X			
GC00001478	softcore	P			
GC00006002	cloud	X			
GC00006003	cloud	X			
GC00006000	cloud	X			
GC00004472	shell	X			
GC00006001	cloud	X			
GC00006008	cloud	X			
GC00006009	cloud	S			
GC00004479	shell	X			
GC00000731	core	J			
GC00004478	shell	X			
GC00002747	shell	P			
GC00003001	shell	X			
GC00004914	shell	X			
GC00001201	core	F			
GC00004729	shell	X			
GC00004728	shell	X			
GC00001025	core	G	M		
GC00003003	shell	X			
GC00004899	shell	X			
GC00004431	shell	X			
GC00000736	core	E			
GC00004430	shell	X			
GC00004725	shell	K			
GC00004044	shell	S			
GC00003005	shell	S			
GC00004724	shell	X			
GC00001287	core	C			
GC00004727	shell	X			
GC00004344	shell	X			
GC00003004	shell	F			
GC00004726	shell	X			
GC00004343	shell	X			
GC00003007	shell	X			
GC00000727	core	S			
GC00001024	core	H			
GC00004721	shell	X			
GC00000737	core	J			
GC00004720	shell	X			
GC00004434	shell	S			
GC00004723	shell	X			
GC00003006	shell	X			
GC00004722	shell	X			
GC00003009	shell	X			
GC00000541	core	J			
GC00000523	core	J			
GC00003008	shell	X			
GC00003504	shell	S			
GC00001479	softcore	H			
GC00001267	core	X			
GC00003505	shell	X			
GC00005670	cloud	X			
GC00005671	cloud	X			
GC00005672	cloud	S			
GC00004388	shell	X			
GC00005673	cloud	X			
GC00005674	cloud	X			
GC00005675	cloud	S			
GC00004383	shell	X			
GC00003506	shell	X			
GC00004382	shell	X			
GC00001202	core	J			
GC00003507	shell	X			
GC00005582	cloud	X			
GC00004381	shell	X			
GC00005583	cloud	X			
GC00005580	cloud	X			
GC00005581	cloud	X			
GC00005586	cloud	X			
GC00003719	shell	K			
GC00005587	cloud	X			
GC00005584	cloud	X			
GC00005585	cloud	X			
GC00001027	core	S			
GC00005588	cloud	X			
GC00003718	shell	X			
GC00004380	shell	X			
GC00005589	cloud	X			
GC00003501	shell	X			
GC00001286	softcore	S			
GC00002608	shell	X			
GC00004981	shell	X			
GC00003502	shell	X			
GC00004387	shell	X			
GC00001266	core	Q			
GC00004980	shell	X			
GC00002609	shell	X			
GC00003503	shell	X			
GC00007085	cloud	X			
GC00007084	cloud	X			
GC00001026	core	J			
GC00004386	shell	X			
GC00007087	cloud	X			
GC00004983	shell	X			
GC00007086	cloud	X			
GC00001289	core	C			
GC00007081	cloud	X			
GC00002604	shell	X			
GC00007080	cloud	X			
GC00000540	core	K			
GC00007083	cloud	X			
GC00004982	shell	X			
GC00004385	shell	X			
GC00007082	cloud	X			
GC00007089	cloud	V			
GC00003771	shell	X			
GC00000522	core	S			
GC00007088	cloud	X			
GC00004530	shell	X			
GC00004384	shell	X			
GC00004985	shell	S			
GC00003777	shell	X			
GC00005275	shell	S			
GC00003716	shell	X			
GC00004984	shell	S			
GC00003672	shell	X			
GC00003711	shell	X			
GC00004987	shell	X			
GC00001472	softcore	X			
GC00003673	shell	S			
GC00001288	core	C			
GC00003710	shell	X			
GC00004986	shell	S			
GC00003670	shell	S			
GC00004915	shell	X			
GC00003713	shell	X			
GC00004989	shell	X			
GC00002068	shell	E			
GC00003671	shell	S			
GC00003712	shell	X			
GC00005419	shell	X			
GC00003677	shell	X			
GC00002601	shell	F			
GC00002069	shell	H			
GC00003674	shell	X			
GC00005276	shell	X			
GC00001265	core	Q			
GC00005677	cloud	X			
GC00005854	cloud	E			
GC00003675	shell	S			
GC00005855	cloud	C			
GC00003678	shell	X			
GC00003679	shell	V			
GC00001264	core	S			
GC00002060	shell	C			
GC00002103	shell	M			
GC00002603	shell	X			
GC00007074	cloud	X			
GC00007075	cloud	X			
GC00007076	cloud	X			
GC00000543	core	J			
GC00007077	cloud	X			
GC00007070	cloud	X			
GC00007071	cloud	X			
GC00007072	cloud	X			
GC00007073	cloud	X			
GC00007078	cloud	E			
GC00000864	core	G			
GC00007079	cloud	S			
GC00005908	cloud	X			
GC00006385	cloud	X			
GC00005909	cloud	X			
GC00006384	cloud	X			
GC00006387	cloud	X			
GC00006386	cloud	X			
GC00006381	cloud	X			
GC00006380	cloud	X			
GC00004505	shell	S			
GC00006383	cloud	X			
GC00007985	cloud	X			
GC00008005	cloud	X			
GC00006389	cloud	X			
GC00006388	cloud	X			
GC00007388	cloud	X			
GC00004504	shell	X			
GC00007389	cloud	X			
GC00007386	cloud	X			
GC00002778	shell	X			
GC00007387	cloud	X			
GC00007384	cloud	S			
GC00008003	cloud	X			
GC00007382	cloud	S			
GC00007383	cloud	X			
GC00007380	cloud	X			
GC00002779	shell	X			
GC00007381	cloud	X			
GC00002101	shell	V			
GC00002774	shell	X			
GC00002621	shell	X			
GC00005679	cloud	X			
GC00000542	softcore	J			
GC00006407	cloud	X			
GC00006659	cloud	X			
GC00006658	cloud	X			
GC00006653	cloud	X			
GC00001029	core	K			
GC00006652	cloud	X			
GC00006651	cloud	X			
GC00000744	core	M			
GC00006650	cloud	X			
GC00006657	cloud	X			
GC00004394	shell	L			
GC00006656	cloud	X			
GC00006655	cloud	S			
GC00006654	cloud	X			
GC00004395	shell	T			
GC00002776	shell	X			
GC00001471	softcore	X			
GC00004396	shell	S			
GC00000865	core	L			
GC00004397	shell	X			
GC00001263	core	J			
GC00004501	shell	X			
GC00004042	shell	X			
GC00002777	shell	S			
GC00004390	shell	X			
GC00004391	shell	X			
GC00001028	core	F			
GC00004392	shell	X			
GC00004028	shell	X			
GC00004393	shell	X			
GC00002063	shell	X			
GC00004029	shell	X			
GC00007193	cloud	X			
GC00004142	shell	X			
GC00007192	cloud	X			
GC00004398	shell	X			
GC00001534	shell	X			
GC00007191	cloud	S			
GC00007190	cloud	X			
GC00007197	cloud	X			
GC00007196	cloud	X			
GC00007195	cloud	X			
GC00002763	shell	E			
GC00001388	softcore	E			
GC00007194	cloud	X			
GC00004468	shell	S			
GC00007986	cloud	X			
GC00004469	shell	X			
GC00001799	shell	O			
GC00007944	cloud	S			
GC00002762	shell	S			
GC00001976	shell	M			
GC00001262	core	D			
GC00001533	softcore	N	U		
GC00003012	shell	X			
GC00002761	shell	S			
GC00003013	shell	X			
GC00001819	shell	C			
GC00003277	shell	X			
GC00003010	shell	X			
GC00005878	cloud	X			
GC00005879	cloud	S			
GC00005658	cloud	X			
GC00005659	cloud	X			
GC00005872	cloud	X			
GC00005873	cloud	X			
GC00005870	cloud	X			
GC00003011	shell	X			
GC00005871	cloud	S			
GC00000409	core	G			
GC00005652	cloud	S			
GC00005877	cloud	X			
GC00005874	cloud	S			
GC00002760	shell	U	W		
GC00005875	cloud	X			
GC00003275	shell	S			
GC00002767	shell	X			
GC00003017	shell	X			
GC00002065	shell	X			
GC00002295	shell	Q			
GC00002766	shell	X			
GC00003014	shell	X			
GC00001814	shell	H			
GC00001261	core	O			
GC00003018	shell	P			
GC00002105	shell	X			
GC00001389	softcore	S			
GC00002294	shell	E			
GC00003019	shell	P			
GC00007945	cloud	X			
GC00002764	shell	X			
GC00002104	shell	X			
GC00002947	shell	X			
GC00003271	shell	L			
GC00005059	shell	X			
GC00002293	shell	E			
GC00001380	softcore	J			
GC00007650	cloud	X			
GC00007651	cloud	P			
GC00007652	cloud	X			
GC00007653	cloud	X			
GC00007654	cloud	V			
GC00007655	cloud	X			
GC00003278	shell	X			
GC00007656	cloud	X			
GC00000526	core	S			
GC00007657	cloud	X			
GC00007658	cloud	X			
GC00002946	shell	X			
GC00007659	cloud	X			
GC00007128	cloud	X			
GC00002109	shell	X			
GC00007129	cloud	X			
GC00002292	shell	K			
GC00003279	shell	K			
GC00006837	cloud	X			
GC00007599	cloud	X			
GC00006836	cloud	X			
GC00001974	shell	F			
GC00006835	cloud	X			
GC00007598	cloud	X			
GC00006834	cloud	X			
GC00006833	cloud	X			
GC00002945	shell	K			
GC00007597	cloud	X			
GC00006832	cloud	X			
GC00006831	cloud	X			
GC00006526	cloud	X			
GC00007596	cloud	X			
GC00001260	core	F			
GC00006529	cloud	X			
GC00007595	cloud	X			
GC00006528	cloud	L			
GC00006299	cloud	X			
GC00005968	cloud	S			
GC00007594	cloud	X			
GC00006298	cloud	X			
GC00005969	cloud	X			
GC00001477	softcore	V			
GC00002944	shell	X			
GC00006839	cloud	X			
GC00004563	shell	K			
GC00005786	cloud	X			
GC00007593	cloud	X			
GC00006838	cloud	X			
GC00005787	cloud	X			
GC00007592	cloud	X			
GC00005964	cloud	X			
GC00005965	cloud	S			
GC00007591	cloud	X			
GC00001973	shell	S			
GC00002291	shell	X			
GC00005966	cloud	S			
GC00004562	shell	I			
GC00007590	cloud	X			
GC00005967	cloud	J			
GC00005960	cloud	X			
GC00007373	cloud	X			
GC00003636	shell	X			
GC00005961	cloud	M			
GC00001815	shell	C			
GC00007372	cloud	X			
GC00002108	shell	S			
GC00005962	cloud	X			
GC00007559	cloud	X			
GC00007371	cloud	X			
GC00005963	cloud	X			
GC00001381	softcore	E			
GC00007558	cloud	X			
GC00004561	shell	X			
GC00007858	cloud	X			
GC00007370	cloud	X			
GC00007553	cloud	X			
GC00007859	cloud	X			
GC00007552	cloud	C			
GC00007377	cloud	X			
GC00007852	cloud	X			
GC00007551	cloud	X			
GC00007853	cloud	X			
GC00007376	cloud	X			
GC00007550	cloud	X			
GC00007850	cloud	X			
GC00002290	shell	X			
GC00007557	cloud	X			
GC00006144	cloud	X			
GC00007375	cloud	X			
GC00007851	cloud	X			
GC00007556	cloud	X			
GC00004560	shell	M			
GC00007856	cloud	X			
GC00007555	cloud	T			
GC00007374	cloud	E			
GC00007554	cloud	S			
GC00007857	cloud	X			
GC00006688	cloud	S			
GC00003634	shell	X			
GC00007854	cloud	X			
GC00006745	cloud	X			
GC00006689	cloud	X			
GC00007855	cloud	X			
GC00006744	cloud	X			
GC00006938	cloud	X			
GC00006459	cloud	X			
GC00006747	cloud	X			
GC00006746	cloud	X			
GC00006458	cloud	X			
GC00006939	cloud	X			
GC00004567	shell	K			
GC00006741	cloud	X			
GC00006109	cloud	M			
GC00006680	cloud	X			
GC00006740	cloud	X			
GC00006108	cloud	X			
GC00006681	cloud	X			
GC00004834	shell	S			
GC00006743	cloud	X			
GC00001065	core	S			
GC00007379	cloud	X			
GC00006455	cloud	X			
GC00006682	cloud	X			
GC00006742	cloud	X			
GC00006454	cloud	X			
GC00006683	cloud	X			
GC00007378	cloud	X			
GC00006457	cloud	S			
GC00006456	cloud	S			
GC00004566	shell	E			
GC00006451	cloud	X			
GC00006450	cloud	X			
GC00003632	shell	X			
GC00006749	cloud	M			
GC00006453	cloud	X			
GC00006748	cloud	X			
GC00006452	cloud	X			
GC00004565	shell	Q			
GC00004564	shell	X			
GC00003633	shell	S			
GC00004569	shell	E			
GC00003630	shell	X			
GC00001971	shell	C			
GC00004568	shell	K			
GC00001064	core	S			
GC00001102	core	J			
GC00004666	shell	X			
GC00003631	shell	X			
GC00002948	shell	X			
GC00005779	cloud	X			
GC00006409	cloud	X			
GC00005778	cloud	K			
GC00005413	cloud	U			
GC00005710	cloud	X			
GC00001568	shell	S			
GC00000751	core	H			
GC00004667	shell	O			
GC00004684	shell	X			
GC00004097	shell	X			
GC00004660	shell	X			
GC00004685	shell	S			
GC00005162	shell	X			
GC00004661	shell	X			
GC00001256	core	S			
GC00004682	shell	S			
GC00004095	shell	S			
GC00004350	shell	S			
GC00005204	shell	S			
GC00004683	shell	S			
GC00004663	shell	X			
GC00004094	shell	X			
GC00004351	shell	X			
GC00004680	shell	X			
GC00001103	core	K			
GC00001245	core	L			
GC00004420	shell	S			
GC00001407	softcore	H			
GC00004092	shell	X			
GC00004353	shell	Q			
GC00001100	core	J			
GC00004101	shell	S			
GC00001212	core	S			
GC00005716	cloud	X			
GC00004091	shell	X			
GC00005715	cloud	X			
GC00004354	shell	K			
GC00001244	core	K			
GC00004090	shell	X			
GC00001254	core	E			
GC00006972	cloud	X			
GC00006973	cloud	X			
GC00006970	cloud	X			
GC00006971	cloud	X			
GC00004355	shell	X			
GC00006976	cloud	X			
GC00006977	cloud	S			
GC00006974	cloud	S			
GC00006975	cloud	X			
GC00004099	shell	V			
GC00004356	shell	V			
GC00004098	shell	X			
GC00001569	shell	S			
GC00004425	shell	S			
GC00001211	core	F			
GC00004181	shell	V			
GC00003823	shell	X			
GC00001247	core	J			
GC00005245	shell	X			
GC00004180	shell	X			
GC00003822	shell	X			
GC00001106	core	J			
GC00005244	shell	X			
GC00004183	shell	X			
GC00000481	softcore	H			
GC00000525	core	M			
GC00005154	shell	X			
GC00003219	shell	X			
GC00003821	shell	X			
GC00005247	shell	X			
GC00007541	cloud	X			
GC00004182	shell	X			
GC00004760	shell	X			
GC00003462	shell	S			
GC00004185	shell	X			
GC00003416	shell	X			
GC00004763	shell	S			
GC00003214	shell	Q			
GC00004184	shell	X			
GC00003827	shell	X			
GC00003417	shell	X			
GC00004279	shell	S			
GC00001246	core	X			
GC00003215	shell	X			
GC00004187	shell	M			
GC00003826	shell	X			
GC00003414	shell	X			
GC00004278	shell	S			
GC00001475	softcore	M			
GC00003825	shell	X			
GC00001104	core	J			
GC00004277	shell	X			
GC00003415	shell	S			
GC00003216	shell	G			
GC00004800	shell	S			
GC00005156	shell	L			
GC00004276	shell	X			
GC00003824	shell	X			
GC00003412	shell	X			
GC00005159	shell	X			
GC00003217	shell	S			
GC00004275	shell	X			
GC00004801	shell	X			
GC00005158	shell	X			
GC00004274	shell	X			
GC00003413	shell	X			
GC00003210	shell	S			
GC00004802	shell	X			
GC00004273	shell	X			
GC00003410	shell	X			
GC00001385	softcore	D			
GC00004803	shell	X			
GC00004272	shell	X			
GC00003211	shell	K			
GC00004271	shell	X			
GC00003411	shell	X			
GC00004270	shell	X			
GC00003418	shell	X			
GC00002451	shell	X			
GC00003212	shell	X			
GC00003419	shell	X			
GC00006978	cloud	X			
GC00006979	cloud	X			
GC00000482	core	S			
GC00001240	core	U			
GC00002235	shell	J			
GC00005200	shell	X			
GC00001243	core	H			
GC00005359	cloud	S			
GC00002453	shell	X			
GC00000410	softcore	S			
GC00006942	cloud	X			
GC00006944	cloud	X			
GC00004502	shell	X			
GC00005358	shell	S			
GC00004831	shell	X			
GC00005357	shell	X			
GC00002455	shell	X			
GC00005356	shell	X			
GC00003135	shell	S			
GC00004508	shell	X			
GC00005355	shell	X			
GC00002454	shell	X			
GC00005354	shell	X			
GC00005353	shell	X			
GC00005352	shell	X			
GC00001242	core	N	O	U	
GC00001250	core	H			
GC00005351	shell	X			
GC00007928	cloud	X			
GC00007929	cloud	X			
GC00007922	cloud	X			
GC00007923	cloud	X			
GC00007920	cloud	V			
GC00007921	cloud	X			
GC00007926	cloud	X			
GC00007927	cloud	X			
GC00005350	shell	X			
GC00007924	cloud	X			
GC00007925	cloud	X			
GC00000879	core	E			
GC00002370	shell	X			
GC00006039	cloud	X			
GC00006038	cloud	X			
GC00003136	shell	P			
GC00006037	cloud	X			
GC00006036	cloud	X			
GC00006035	cloud	X			
GC00006034	cloud	X			
GC00004408	shell	X			
GC00006033	cloud	X			
GC00006032	cloud	X			
GC00002803	shell	X			
GC00006031	cloud	X			
GC00004833	shell	X			
GC00006030	cloud	E			
GC00005601	cloud	X			
GC00005600	cloud	X			
GC00003131	shell	X			
GC00005603	cloud	X			
GC00005602	cloud	X			
GC00005605	cloud	X			
GC00005604	cloud	S			
GC00004832	shell	X			
GC00005607	cloud	X			
GC00004404	shell	V			
GC00005606	cloud	K			
GC00005609	cloud	X			
GC00005608	cloud	X			
GC00004547	shell	X			
GC00003130	shell	M			
GC00001251	core	O			
GC00005940	cloud	X			
GC00004405	shell	V			
GC00002373	shell	S			
GC00001565	shell	L			
GC00007849	cloud	X			
GC00007848	cloud	X			
GC00007841	cloud	X			
GC00007840	cloud	X			
GC00007843	cloud	I			
GC00007842	cloud	X			
GC00007845	cloud	X			
GC00007844	cloud	X			
GC00007847	cloud	X			
GC00003132	shell	S			
GC00007846	cloud	X			
GC00003753	shell	X			
GC00006460	cloud	X			
GC00006461	cloud	X			
GC00006462	cloud	X			
GC00006463	cloud	X			
GC00006464	cloud	X			
GC00006465	cloud	X			
GC00003139	shell	X			
GC00006466	cloud	X			
GC00006467	cloud	X			
GC00006468	cloud	T			
GC00006469	cloud	X			
GC00003755	shell	S			
GC00001249	core	E			
GC00003754	shell	C			
GC00003757	shell	C			
GC00002848	shell	X			
GC00001111	core	J			
GC00003756	shell	X			
GC00003759	shell	X			
GC00004806	shell	X			
GC00002849	shell	X			
GC00003758	shell	X			
GC00005165	shell	X			
GC00004807	shell	S			
GC00001450	softcore	P			
GC00002846	shell	S			
GC00005698	cloud	O	U		
GC00005699	cloud	X			
GC00005692	cloud	X			
GC00000484	core	K			
GC00005693	cloud	X			
GC00005690	cloud	S			
GC00005691	cloud	X			
GC00002847	shell	X			
GC00005696	cloud	X			
GC00005697	cloud	X			
GC00001113	core	J			
GC00005694	cloud	X			
GC00005695	cloud	X			
GC00001932	shell	X			
GC00002844	shell	X			
GC00004619	shell	X			
GC00004618	shell	S			
GC00001248	core	S			
GC00001451	softcore	M			
GC00004614	shell	X			
GC00004617	shell	X			
GC00004809	shell	X			
GC00000593	core	M			
GC00004611	shell	X			
GC00004610	shell	X			
GC00002843	shell	H			
GC00004613	shell	X			
GC00004612	shell	X			
GC00002840	shell	S			
GC00003049	shell	X			
GC00002841	shell	S			
GC00003048	shell	X			
GC00004107	shell	K			
GC00000877	core	L			
GC00001440	softcore	D			
GC00001570	shell	S			
GC00004109	shell	X			
GC00003044	shell	X			
GC00004108	shell	S			
GC00000742	core	J			
GC00005407	shell	X			
GC00000876	core	S			
GC00003047	shell	X			
GC00004871	shell	X			
GC00001452	softcore	X			
GC00003688	shell	X			
GC00003687	shell	S			
GC00001937	shell	S			
GC00003041	shell	O			
GC00003686	shell	S			
GC00000741	core	K			
GC00004705	shell	X			
GC00001447	softcore	D			
GC00003684	shell	X			
GC00004872	shell	X			
GC00005161	shell	S			
GC00000871	core	E			
GC00004875	shell	V			
GC00003683	shell	S			
GC00004874	shell	E			
GC00007236	cloud	X			
GC00007237	cloud	X			
GC00003682	shell	S			
GC00007726	cloud	X			
GC00000590	core	M			
GC00007727	cloud	X			
GC00007720	cloud	X			
GC00007233	cloud	X			
GC00007230	cloud	S			
GC00007723	cloud	X			
GC00001117	core	J			
GC00003043	shell	Q			
GC00004876	shell	X			
GC00007728	cloud	X			
GC00007729	cloud	X			
GC00007238	cloud	X			
GC00005163	shell	X			
GC00007239	cloud	X			
GC00005656	cloud	X			
GC00001576	shell	S			
GC00003042	shell	K			
GC00005657	cloud	X			
GC00005528	cloud	X			
GC00005654	cloud	K			
GC00005529	cloud	X			
GC00005524	cloud	X			
GC00005525	cloud	X			
GC00005825	cloud	X			
GC00005526	cloud	X			
GC00005824	cloud	X			
GC00005527	cloud	X			
GC00005827	cloud	X			
GC00005520	cloud	X			
GC00005826	cloud	X			
GC00005521	cloud	X			
GC00005821	cloud	S			
GC00001119	core	J			
GC00005820	cloud	X			
GC00005522	cloud	X			
GC00005823	cloud	X			
GC00005523	cloud	X			
GC00005822	cloud	S			
GC00001934	shell	S			
GC00006598	cloud	X			
GC00005829	cloud	X			
GC00005828	cloud	X			
GC00006599	cloud	S			
GC00006596	cloud	X			
GC00004923	cloud	X			
GC00006597	cloud	X			
GC00004922	cloud	X			
GC00001118	core	J			
GC00003905	shell	S			
GC00004921	shell	K			
GC00003907	shell	X			
GC00004920	shell	X			
GC00001939	shell	K			
GC00004927	cloud	X			
GC00003655	shell	S			
GC00004926	shell	E			
GC00003656	shell	S			
GC00004925	shell	E			
GC00004924	shell	X			
GC00003657	shell	I			
GC00000870	core	L			
GC00004929	shell	X			
GC00003650	shell	X			
GC00003289	shell	X			
GC00004928	shell	X			
GC00001911	shell	X			
GC00001828	shell	S			
GC00003288	shell	L			
GC00003651	shell	X			
GC00003652	shell	X			
GC00003282	shell	F			
GC00003281	shell	X			
GC00003658	shell	X			
GC00003280	shell	K			
GC00003659	shell	X			
GC00005772	cloud	X			
GC00001448	softcore	X			
GC00003287	shell	X			
GC00005168	shell	X			
GC00003286	shell	X			
GC00005169	shell	M			
GC00000873	core	O	U		
GC00003285	shell	X			
GC00003575	shell	X			
GC00000468	core	S			
GC00000223	softcore	X			
GC00003574	shell	X			
GC00003577	shell	X			
GC00004045	shell	M			
GC00000856	core	A			
GC00007359	cloud	X			
GC00007358	cloud	X			
GC00005285	shell	X			
GC00003576	shell	X			
GC00007829	cloud	X			
GC00007828	cloud	X			
GC00002263	shell	S			
GC00007827	cloud	X			
GC00007826	cloud	S			
GC00005284	shell	X			
GC00007353	cloud	X			
GC00003571	shell	S			
GC00007352	cloud	X			
GC00007823	cloud	X			
GC00005287	shell	X			
GC00007354	cloud	X			
GC00002260	shell	S			
GC00007821	cloud	X			
GC00007356	cloud	X			
GC00005286	shell	S			
GC00006190	cloud	X			
GC00006191	cloud	X			
GC00006192	cloud	X			
GC00003573	shell	X			
GC00006193	cloud	S			
GC00005281	shell	L			
GC00006194	cloud	X			
GC00006195	cloud	X			
GC00000872	softcore	C			
GC00006196	cloud	X			
GC00005280	shell	X			
GC00003572	shell	X			
GC00006197	cloud	X			
GC00006198	cloud	X			
GC00005313	shell	X			
GC00006199	cloud	X			
GC00003579	shell	X			
GC00006998	cloud	X			
GC00006999	cloud	X			
GC00005312	shell	X			
GC00006990	cloud	X			
GC00006991	cloud	X			
GC00006992	cloud	X			
GC00006993	cloud	X			
GC00006994	cloud	X			
GC00006995	cloud	X			
GC00005310	shell	S			
GC00006996	cloud	S			
GC00006997	cloud	X			
GC00004765	shell	S			
GC00002266	shell	L			
GC00005317	shell	X			
GC00002486	shell	C			
GC00005316	shell	X			
GC00000855	core	S			
GC00001877	shell	X			
GC00005315	shell	X			
GC00000387	shell	L			
GC00002487	shell	S			
GC00005314	shell	X			
GC00001823	shell	P			
GC00002484	shell	L			
GC00005318	shell	X			
GC00006293	cloud	X			
GC00006292	cloud	S			
GC00001874	shell	P			
GC00000854	core	O			
GC00002264	shell	S			
GC00002485	shell	L			
GC00001875	shell	S			
GC00005650	cloud	L			
GC00005651	cloud	X			
GC00006547	cloud	X			
GC00006546	cloud	X			
GC00006545	cloud	S			
GC00006232	cloud	X			
GC00006543	cloud	X			
GC00000675	core	S			
GC00006542	cloud	X			
GC00006541	cloud	L			
GC00002482	shell	L			
GC00000853	core	U			
GC00006540	cloud	X			
GC00007896	cloud	X			
GC00007321	cloud	X			
GC00007894	cloud	X			
GC00000594	core	F			
GC00001915	shell	O			
GC00002480	shell	V			
GC00006290	cloud	X			
GC00000386	softcore	O			
GC00001825	shell	S			
GC00002437	shell	X			
GC00000534	core	O			
GC00002488	shell	S			
GC00007122	cloud	X			
GC00002489	shell	S			
GC00000852	core	X			
GC00001824	shell	F			
GC00000595	softcore	L			
GC00006241	cloud	X			
GC00005117	shell	V			
GC00006128	cloud	X			
GC00001916	shell	S			
GC00006136	cloud	X			
GC00006137	cloud	X			
GC00006134	cloud	X			
GC00003513	shell	X			
GC00003511	shell	S			
GC00000850	core	J			
GC00003517	shell	X			
GC00007123	cloud	X			
GC00000462	core	L			
GC00003516	shell	X			
GC00003514	shell	X			
GC00006132	cloud	X			
GC00000384	core	S			
GC00003519	shell	X			
GC00004291	shell	X			
GC00002443	shell	X			
GC00004293	shell	X			
GC00002440	shell	S			
GC00004292	shell	M			
GC00003518	shell	X			
